__time,/cosine,/dict/a,/dict/b,/float,/int,/list[0],/list[1],/list[2],/mug/attitude/pitch,/mug/attitude/roll,/mug/attitude/yaw,/mug/position/x,/mug/position/y,/mug/position/z,/mug/setpoint/clamped pitch,/mug/setpoint/clamped roll,/mug/setpoint/yaw,/sine,/ts
1733870883.909624,,,,,,,,,-0.102063074,-0.283055434,0.011125465,-0.017600572,0.004657921,-0.044192037,-3.243576344,-1.169556676,0.637442214,,8.383000000
1733870883.911012,,,,,,,,,-0.097829746,-0.263940370,0.006048930,-0.018094845,0.004955706,-0.042557973,-3.024533846,-1.121046306,0.346578148,,8.384000000
1733870883.912436,,,,,,,,,-0.097829746,-0.263940370,0.006048930,-0.018094845,0.004955706,-0.042557973,-3.024533846,-1.121046306,0.346578148,,8.385000000
1733870883.919201,,,,,,,,,-0.097829746,-0.263940370,0.006048930,-0.018094845,0.004955706,-0.042557973,-3.024533846,-1.121046306,0.346578148,,8.387000000
1733870883.919262,,,,,,,,,-0.097829746,-0.263940370,0.006048930,-0.018094845,0.004955706,-0.042557973,-3.024533846,-1.121046306,0.346578148,,8.388000000
1733870883.919296,,,,,,,,,-0.089258907,-0.236437210,0.000475522,-0.018796563,0.005233245,-0.040780733,-2.709370847,-1.022831731,0.027245431,,8.389000000
1733870883.919332,,,,,,,,,-0.089258907,-0.236437210,0.000475522,-0.018796563,0.005233245,-0.040780733,-2.709370847,-1.022831731,0.027245431,,8.391000000
1733870883.919367,,,,,,,,,-0.089258907,-0.236437210,0.000475522,-0.018796563,0.005233245,-0.040780733,-2.709370847,-1.022831731,0.027245431,,8.392000000
1733870883.920348,,,,,,,,,-0.089258907,-0.236437210,0.000475522,-0.018796563,0.005233245,-0.040780733,-2.709370847,-1.022831731,0.027245431,,8.393000000
1733870883.921731,,,,,,,,,-0.094088173,-0.223675597,0.009061091,-0.019133899,0.005487351,-0.039254878,-2.563133536,-1.078171040,0.519162285,,8.395000000
1733870883.923041,,,,,,,,,-0.094088173,-0.223675597,0.009061091,-0.019133899,0.005487351,-0.039254878,-2.563133536,-1.078171040,0.519162285,,8.396000000
1733870883.924349,,,,,,,,,-0.094088173,-0.223675597,0.009061091,-0.019133899,0.005487351,-0.039254878,-2.563133536,-1.078171040,0.519162285,,8.397000000
1733870883.925658,,,,,,,,,-0.095402293,-0.209338831,0.014442658,-0.019642549,0.005018760,-0.037530552,-2.398846302,-1.093229752,0.827503376,,8.399000000
1733870883.926994,,,,,,,,,-0.095402293,-0.209338831,0.014442658,-0.019642549,0.005018760,-0.037530552,-2.398846302,-1.093229752,0.827503376,,8.400000000
1733870883.928358,,,,,,,,,-0.095402293,-0.209338831,0.014442658,-0.019642549,0.005018760,-0.037530552,-2.398846302,-1.093229752,0.827503376,,8.401000000
1733870883.929711,,,,,,,,,-0.095402293,-0.209338831,0.014442658,-0.019642549,0.005018760,-0.037530552,-2.398846302,-1.093229752,0.827503376,,8.403000000
1733870883.936380,,,,,,,,,-0.096555954,-0.192448802,0.013425310,-0.019966428,0.004893547,-0.035910117,-2.205300829,-1.106449735,0.769213579,,8.404000000
1733870883.936469,,,,,,,,,-0.096555954,-0.192448802,0.013425310,-0.019966428,0.004893547,-0.035910117,-2.205300829,-1.106449735,0.769213579,,8.405000000
1733870883.936512,,,,,,,,,-0.096555954,-0.192448802,0.013425310,-0.019966428,0.004893547,-0.035910117,-2.205300829,-1.106449735,0.769213579,,8.407000000
1733870883.936547,,,,,,,,,-0.096555954,-0.192448802,0.013425310,-0.019966428,0.004893547,-0.035910117,-2.205300829,-1.106449735,0.769213579,,8.408000000
1733870883.936581,,,,,,,,,-0.099635528,-0.174095693,0.017266341,-0.020353841,0.004762479,-0.034153030,-1.994989692,-1.141739045,0.989288450,,8.409000000
1733870883.937634,,,,,,,,,-0.099635528,-0.174095693,0.017266341,-0.020353841,0.004762479,-0.034153030,-1.994989692,-1.141739045,0.989288450,,8.411000000
1733870883.939009,,,,,,,,,-0.099635528,-0.174095693,0.017266341,-0.020353841,0.004762479,-0.034153030,-1.994989692,-1.141739045,0.989288450,,8.412000000
1733870883.940390,,,,,,,,,-0.099635528,-0.174095693,0.017266341,-0.020353841,0.004762479,-0.034153030,-1.994989692,-1.141739045,0.989288450,,8.413000000
1733870883.941746,,,,,,,,,-0.100741277,-0.162342586,0.017706938,-0.020827049,0.004738805,-0.032481826,-1.860309005,-1.154409993,1.014532820,,8.415000000
1733870883.943138,,,,,,,,,-0.100741277,-0.162342586,0.017706938,-0.020827049,0.004738805,-0.032481826,-1.860309005,-1.154409993,1.014532820,,8.416000000
1733870883.944568,,,,,,,,,-0.100741277,-0.162342586,0.017706938,-0.020827049,0.004738805,-0.032481826,-1.860309005,-1.154409993,1.014532820,,8.417000000
1733870883.945912,,,,,,,,,-0.102970821,-0.140562584,0.018438505,-0.021176590,0.004510713,-0.030635124,-1.610728559,-1.179958697,1.056448499,,8.419000000
1733870883.947269,,,,,,,,,-0.102970821,-0.140562584,0.018438505,-0.021176590,0.004510713,-0.030635124,-1.610728559,-1.179958697,1.056448499,,8.420000000
1733870883.948823,,,,,,,,,-0.102970821,-0.140562584,0.018438505,-0.021176590,0.004510713,-0.030635124,-1.610728559,-1.179958697,1.056448499,,8.422000000
1733870883.950301,,,,,,,,,-0.102970821,-0.140562584,0.018438505,-0.021176590,0.004510713,-0.030635124,-1.610728559,-1.179958697,1.056448499,,8.423000000
